date,name,category,value
2018-10-01,Bennett,School : private,219.5
2018-10-01,Robert Crown,School : not-for-profit,132.5
2018-10-01,Mayer,School : CPS,148.5
2018-10-01,inQUEST,Corporation,0
2018-10-01,Bitter Pops,Corporation,0
2018-10-01,Rush Day School,School : not-for-profit,0
2018-10-01,Montessori,School - not-for-profit,74
2018-10-01,CCSD,School - not-for-profit,104.75
2018-10-01,Kids and Company,Corporation : daycare,0
2018-10-01,Friends of Bennett,School : private,1
2018-10-01,McDade,School : CPS,0
2018-10-01,Great Lakes,School : not-for-profit,0
2018-10-01,Winsight,Corporation,0
2018-10-01,TvS,Corporation,0
2019-01-01,Stagg,School : CPS,89.5
2019-01-01,Tarkington,School : CPS,107
2019-01-01,Greene,School : CPS,0
2019-01-01,Chalmers,School : CPS,203.5
